epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,112.558,0.52604,0.46427,0.96528,0.96228,0.87303,0.93839,0.74697,0.79516,0.59078,1.03034,0.000742625,0.000742625,0.000742625
43,115.638,0.47048,0.42669,0.92659,0.90154,0.90819,0.93321,0.74174,0.78587,0.59733,1.0315,0.00073025,0.00073025,0.00073025
44,118.452,0.48776,0.49426,0.92061,0.90215,0.86369,0.91282,0.73138,0.79906,0.66047,1.04265,0.000717875,0.000717875,0.000717875
45,120.766,0.51592,0.46697,0.95394,0.90261,0.85573,0.90383,0.7332,0.78711,0.66928,1.03558,0.0007055,0.0007055,0.0007055
46,123.227,0.49706,0.44802,0.93105,0.88752,0.85615,0.89768,0.7208,0.76853,0.67994,1.03881,0.000693125,0.000693125,0.000693125
47,125.501,0.50565,0.43684,0.91172,0.90432,0.82789,0.90284,0.7188,0.78834,0.68088,1.04829,0.00068075,0.00068075,0.00068075
48,128.063,0.4671,0.43881,0.92709,0.89649,0.86373,0.91071,0.72101,0.83269,0.66371,1.06575,0.000668375,0.000668375,0.000668375
49,131.495,0.47014,0.41114,0.88321,0.9494,0.85377,0.91867,0.7285,0.81653,0.63841,1.05138,0.000656,0.000656,0.000656
50,133.934,0.45798,0.40794,0.91591,0.91341,0.87203,0.93579,0.75627,0.7692,0.61538,1.02729,0.000643625,0.000643625,0.000643625
51,136.279,0.45039,0.42088,0.91916,0.91826,0.8711,0.92313,0.75643,0.76452,0.61577,1.01982,0.00063125,0.00063125,0.00063125
52,138.641,0.46351,0.41686,0.91457,0.91935,0.86335,0.92906,0.74259,0.76353,0.60575,1.01219,0.000618875,0.000618875,0.000618875
53,141.05,0.4741,0.41444,0.91897,0.92148,0.8626,0.93133,0.7503,0.76161,0.61266,1.0135,0.0006065,0.0006065,0.0006065
54,144.282,0.46234,0.40816,0.90853,0.91679,0.85479,0.9132,0.74297,0.75091,0.61193,1.00864,0.000594125,0.000594125,0.000594125
55,147.345,0.45981,0.40541,0.89141,0.91808,0.85907,0.91384,0.74728,0.75585,0.61321,1.00674,0.00058175,0.00058175,0.00058175
56,149.764,0.4174,0.38738,0.89675,0.9072,0.8592,0.91965,0.74856,0.7638,0.61928,1.00361,0.000569375,0.000569375,0.000569375
57,152.066,0.50089,0.44972,0.9652,0.90631,0.85687,0.92074,0.75028,0.76371,0.61652,0.99851,0.000557,0.000557,0.000557
58,154.417,0.4559,0.41808,0.9368,0.90884,0.84842,0.92554,0.74534,0.78122,0.62581,1.00093,0.000544625,0.000544625,0.000544625
59,157.17,0.56238,0.45934,1.06352,0.9039,0.84839,0.92158,0.74111,0.78605,0.62908,1.01007,0.00053225,0.00053225,0.00053225
60,160.13,0.45578,0.40174,0.90827,0.92272,0.83066,0.91674,0.74348,0.77955,0.63085,1.01681,0.000519875,0.000519875,0.000519875
61,162.486,0.46126,0.396,0.90604,0.9214,0.83176,0.91831,0.74981,0.78269,0.63007,1.02048,0.0005075,0.0005075,0.0005075
62,164.683,0.44642,0.39057,0.89203,0.93489,0.82874,0.91922,0.74669,0.78675,0.62567,1.02345,0.000495125,0.000495125,0.000495125
63,167.246,0.44633,0.38096,0.89537,0.88287,0.86862,0.91935,0.74411,0.79279,0.6102,1.02341,0.00048275,0.00048275,0.00048275
64,169.56,0.46,0.3975,0.91061,0.94658,0.82228,0.92015,0.74681,0.79557,0.59322,1.0206,0.000470375,0.000470375,0.000470375
65,172.707,0.42669,0.39067,0.90043,0.94758,0.82214,0.91492,0.75149,0.77434,0.58694,1.01162,0.000458,0.000458,0.000458
66,175.392,0.44523,0.38505,0.89783,0.95332,0.82891,0.91395,0.74915,0.76031,0.5853,1.00121,0.000445625,0.000445625,0.000445625
67,177.844,0.42715,0.38643,0.89678,0.94738,0.8444,0.91227,0.74682,0.75852,0.58715,0.99881,0.00043325,0.00043325,0.00043325
68,180.143,0.41194,0.36194,0.90454,0.93334,0.83719,0.90966,0.75089,0.75042,0.59006,0.99037,0.000420875,0.000420875,0.000420875
69,182.389,0.46315,0.39046,0.9468,0.92499,0.83729,0.91141,0.75239,0.74662,0.59317,0.98801,0.0004085,0.0004085,0.0004085
70,185.046,0.43665,0.37201,0.89048,0.88936,0.8811,0.91689,0.74243,0.74055,0.59068,0.98251,0.000396125,0.000396125,0.000396125
71,189.052,0.41191,0.38366,0.8833,0.88947,0.88919,0.91188,0.74813,0.74841,0.59703,0.98565,0.00038375,0.00038375,0.00038375
72,191.346,0.41669,0.36199,0.87868,0.88366,0.88787,0.90533,0.74593,0.75341,0.60949,0.98531,0.000371375,0.000371375,0.000371375
73,193.715,0.52441,0.41061,0.96668,0.8907,0.86919,0.90505,0.73748,0.75706,0.61327,0.98555,0.000359,0.000359,0.000359
74,195.997,0.4969,0.40676,0.94185,0.886,0.86742,0.91213,0.74034,0.77043,0.62164,0.99343,0.000346625,0.000346625,0.000346625
75,198.639,0.40117,0.37215,0.89398,0.9264,0.83398,0.91183,0.7437,0.78266,0.62573,0.99727,0.00033425,0.00033425,0.00033425
76,201.735,0.41834,0.36593,0.92501,0.93726,0.83595,0.91458,0.74812,0.7957,0.60513,0.99984,0.000321875,0.000321875,0.000321875
77,204.095,0.4299,0.39846,0.9156,0.84784,0.92181,0.91818,0.74588,0.79432,0.6005,1.00056,0.0003095,0.0003095,0.0003095
78,206.49,0.37729,0.3406,0.86381,0.94577,0.83779,0.92164,0.74751,0.77961,0.58274,0.99771,0.000297125,0.000297125,0.000297125
79,208.911,0.39328,0.33947,0.89406,0.93908,0.83685,0.92368,0.74701,0.77753,0.57493,0.99906,0.00028475,0.00028475,0.00028475
80,211.27,0.37875,0.34005,0.88841,0.94895,0.84045,0.92373,0.74644,0.77535,0.5659,1.00108,0.000272375,0.000272375,0.000272375
81,214.521,0.38029,0.34957,0.89261,0.95704,0.84694,0.92379,0.74175,0.78175,0.56005,1.00139,0.00026,0.00026,0.00026
82,217.248,0.44829,0.40452,0.93526,0.95859,0.86582,0.91918,0.74537,0.77759,0.56527,1.00248,0.000247625,0.000247625,0.000247625
83,219.603,0.41323,0.35265,0.86653,0.95676,0.86519,0.91738,0.74979,0.76714,0.56973,1.00197,0.00023525,0.00023525,0.00023525
84,221.876,0.40445,0.37124,0.89952,0.95225,0.86451,0.91273,0.75036,0.74773,0.57648,0.99929,0.000222875,0.000222875,0.000222875
85,224.222,0.41236,0.34227,0.9127,0.93783,0.88055,0.91152,0.74421,0.75007,0.57942,1.00105,0.0002105,0.0002105,0.0002105
86,227.07,0.418,0.3625,0.91937,0.94138,0.88117,0.90003,0.73107,0.75667,0.58476,0.99976,0.000198125,0.000198125,0.000198125
87,230.004,0.47195,0.42739,0.9564,0.9404,0.88117,0.90146,0.72779,0.76063,0.59766,0.99823,0.00018575,0.00018575,0.00018575
88,232.408,0.46102,0.46856,0.93063,0.93906,0.88117,0.90282,0.73314,0.75762,0.59638,0.99547,0.000173375,0.000173375,0.000173375
89,234.77,0.43969,0.35774,0.90514,0.93915,0.88319,0.90269,0.73621,0.75454,0.59577,0.99462,0.000161,0.000161,0.000161
90,237.092,0.42534,0.34641,0.88892,0.94097,0.87984,0.90337,0.74198,0.74291,0.58819,0.9899,0.000148625,0.000148625,0.000148625
91,243.739,0.39458,0.38316,0.83555,0.93443,0.88401,0.90275,0.74643,0.73847,0.58176,0.98496,0.00013625,0.00013625,0.00013625
92,246.707,0.3462,0.37353,0.84653,0.93004,0.88314,0.90525,0.74577,0.73775,0.57779,0.98262,0.000123875,0.000123875,0.000123875
93,249.046,0.44046,0.52619,0.86055,0.93897,0.87847,0.90404,0.74999,0.73908,0.57607,0.98056,0.0001115,0.0001115,0.0001115
94,251.358,0.36143,0.36397,0.83771,0.93024,0.86451,0.90348,0.74404,0.7371,0.56855,0.9787,9.9125e-05,9.9125e-05,9.9125e-05
95,253.709,0.34957,0.354,0.82582,0.93022,0.86451,0.90422,0.74286,0.73777,0.57388,0.97868,8.675e-05,8.675e-05,8.675e-05
96,257.107,0.37574,0.39491,0.87248,0.92559,0.86451,0.91153,0.73971,0.73712,0.58075,0.97776,7.4375e-05,7.4375e-05,7.4375e-05
97,259.437,0.43928,0.42871,0.85429,0.92478,0.86694,0.91161,0.7385,0.73702,0.57967,0.97644,6.2e-05,6.2e-05,6.2e-05
98,261.726,0.362,0.37164,0.85613,0.92572,0.88117,0.90795,0.74131,0.73606,0.5882,0.97375,4.9625e-05,4.9625e-05,4.9625e-05
99,263.99,0.35265,0.34684,0.84724,0.92588,0.88117,0.90429,0.74032,0.73642,0.59296,0.97339,3.725e-05,3.725e-05,3.725e-05
100,266.289,0.35364,0.34954,0.82855,0.92628,0.88117,0.90866,0.73729,0.74103,0.59934,0.97424,2.4875e-05,2.4875e-05,2.4875e-05
